actual,economy,forecast,impact,name,previous,timestamp,timestamp_local,date,major
2.50%,EUR,,2,Wages in euro zone (YoY) (Q1),2.30%,2019-06-17 09:00:00,2019-06-17 17:00:00,2019-06-17,True
2.40%,EUR,2.60%,1,Labor Cost Index (YoY) (Q1),2.30%,2019-06-17 09:00:00,2019-06-17 17:00:00,2019-06-17,True
,EUR,,1,German Buba Monthly Report,,2019-06-17 10:00:00,2019-06-17 18:00:00,2019-06-17,True
-8.60,USD,11.00,2,NY Empire State Manufacturing Index (Jun),17.80,2019-06-17 12:30:00,2019-06-17 20:30:00,2019-06-17,True
-0.566%,EUR,,1,French 12-Month BTF Auction,-0.559%,2019-06-17 13:00:00,2019-06-17 21:00:00,2019-06-17,True
-0.549%,EUR,,1,French 3-Month BTF Auction,-0.546%,2019-06-17 13:00:00,2019-06-17 21:00:00,2019-06-17,True
-0.565%,EUR,,1,French 6-Month BTF Auction,-0.544%,2019-06-17 13:00:00,2019-06-17 21:00:00,2019-06-17,True
64,USD,67,1,NAHB Housing Market Index (Jun),66,2019-06-17 14:00:00,2019-06-17 22:00:00,2019-06-17,True
2.170%,USD,,1,3-Month Bill Auction,2.240%,2019-06-17 15:30:00,2019-06-17 23:30:00,2019-06-17,True
2.130%,USD,,1,6-Month Bill Auction,2.140%,2019-06-17 15:30:00,2019-06-17 23:30:00,2019-06-17,True
,EUR,,3,ECB President Draghi Speaks,,2019-06-17 17:00:00,2019-06-18 01:00:00,2019-06-18,True
16.90B,USD,,1,"US Foreign Buying, T-bonds (Apr)",-12.50B,2019-06-17 20:00:00,2019-06-18 04:00:00,2019-06-18,True
-7.80B,USD,17.00B,1,Overall Net Capital Flow (Apr),-5.60B,2019-06-17 20:00:00,2019-06-18 04:00:00,2019-06-18,True
46.9B,USD,6.5B,2,TIC Net Long-Term Transactions (Apr),-25.9B,2019-06-17 20:00:00,2019-06-18 04:00:00,2019-06-18,True
40.80B,USD,,1,TIC Net Long-Term Transactions including Swaps (Apr),-38.30B,2019-06-17 20:00:00,2019-06-18 04:00:00,2019-06-18,True
,EUR,,3,ECB President Draghi Speaks,,2019-06-18 08:00:00,2019-06-18 16:00:00,2019-06-18,True
,EUR,,2,ECB's De Guindos Speaks,,2019-06-18 08:30:00,2019-06-18 16:30:00,2019-06-18,True
-0.476%,EUR,,1,Spanish 3-Month Letras Auction,-0.490%,2019-06-18 08:40:00,2019-06-18 16:40:00,2019-06-18,True
7.8,EUR,6.0,2,German ZEW Current Conditions (Jun),8.2,2019-06-18 09:00:00,2019-06-18 17:00:00,2019-06-18,True
